id_cohorte;effectif;inscriptions;réussites
14544;1;-8<--, G1PC, G1PC, G2PC, G2PC;G1PC
14545;1;G1SPI, G1SPI, [trou], D1SPO;
14546;1;G2SPI, G3ST;G2SPI
14547;1;C3COM, C2COM;C3COM, C2COM, C2COM
14548;1;L1LET, L2SED;L1LET
14549;1;L1PSY, L1PSY, L1PSY, L1PSY, L2PSY, L2PSY;L1PSY
14550;1;-8<--, B1IFRB, [trou], B3IFJV, B3IFRB;B1IFRB, B3IFRB
14551;1;-8<--, B4MOS, B4MOS, B5MES;B4MOS, B5MES
14552;1;A1CG, A2CG, [trou], L4T2D;A1CG, A2CG
14553;1;-8<--, E2EGE, E3EGE, E4EIR, E4EIR, E4EIR, E5DRA;E1CII, E2EGE, E3EGE, E4EIR
14554;1;V1CJ, [trou], [trou], V3ACC;V3ACC
14555;1;D1AES, D1AES, D1AES, [trou], D1AES;
14556;1;E4EIR, E5BGR2;E4EIR, E5BGR2
14557;1;V3ON, G4PSM, G5PN;V3ON, G4PSM, G5PN
14558;1;-8<--, D2DRO, D2DRO, D3DRO, D4DDA, D5EIF, DXEN, DXEN, DXEN;D2DRO, D1CII, D3DRO, D4DDA, D5EIF, DXEN
14559;1;B1EGEP, B2SPS;BCLS2A
14560;1;B1PAES, B1SVI, [trou], B2IFJV, B2IFJV, B3IFJV;B2IFJV, B3IFJV
14561;1;-8<--, B2STA, B3STE, B4APS, B5SPS;B2STA, B3STE, B4APS, B5SPS
14562;1;-8<--, V2GF, D3AEP, V3BA;V2GF, V3BA
14563;1;B5SST, B5SST;B5SST
14564;1;B2SSO, B2SSO, B3SSO;B2SSO
14565;1;B1IFVE, B2IFVE, [trou], [trou], B3IFV3;B1IFVE
14566;1;L1LET, E3ECO;
14567;1;L1ANG, L2ANG, L3ANG, L4MFAN;L1ANG, L2ANG, L3ANG, L4MFAN
14568;1;L2SED, L3SED, B4MES;L2SED, L3SED, B4MES
14569;1;B1SVES, B1SSSI, B1IFJV, B2IFJV, B3IFJV, B4MES, B5MES;B1SSSI, B1IFJV, B2IFJV, B3IFJV, B4MES, B5MES
14570;1;-8<--, B1PAES, B2SM, B3SM, B3DFAS, B4DFAS, B5DFAS, B5DFAS;B1PAES, B2SM, B4BTX, B3SM, B3DFAS, B4DFAS, B5DFAS
14571;1;E4IFM, E4IFD, E5FIRP;E4IFD, E5FIRP
14572;1;V1ST, V2ST, V2ST;V1ST
14573;1;B3SVI, B3SVI;B3SVI
14574;1;B3SVI, B3SVI, B3SVI, B3SVI;B3SVI
14575;1;B3SVI, B3SVI, B3SVI;B3SVI
14576;1;G1MAT9, G2MAT9, G3MAT;G1MAT9, G2MAT9
14577;1;G4PSM, G5MOD;G4PSM, G5MOD
14578;1;L1PMS5, L2PSY5, L3PSY5;L1PMS5, L1PMS5, L2PSY5, L3PSY5
14579;1;B1PAES, [trou], [trou], B1IFAV, B2IFAV, B3IFAV;B1IFAV, B3IFAV
14580;1;S1GE, S2GP, V3MEC, C4RHC, C5RHC;S1GE, S2GP, V3MEC, C4RHC, C5RHC
14581;1;G1PCS, G2PC;G1PCS
14582;1;C5ICM;C5ICM
14583;1;-8<--, L2PSY, L3SED;L2PSY, L3SED
14584;1;L4LCA, L5LITO;L4LCA, L5LITO
14585;1;D1DRO6, D1DRO6, D2DRO6, D2DRO6;D1DRO6
14586;1;G1INF, G2INF;G1CII, G1INF, G2INF
14587;1;-8<--, B9CRM;B9CRM
14588;1;B1SSSI, B1SSO, B1SSO, B2SSO, B2SSO, B2SSO;B1SSO
14589;1;B1SSSI, B1IFRB, B2IFRB, B3IFRB;B1SSSI, B1IFRB, B2IFRB, B3IFRB
14590;1;S1PR, [trou], [trou], [trou], S3MRS;S3MRS
14591;1;G4SGM, G5MF;G4SGM
14592;1;B1PAES, B1PAES, B2SVI, B3SVI, B4TPH, B5TPH;B2SVI, B3SVI, B4TPH, B5TPH
14593;1;D1AES, [trou], D1AES;
14594;1;A1MM, A2MM, A3GCN1;A1MM, A2MM, A3GCN1
14595;1;-8<--, D3DRO, D3DRO, D4DDA, D4DDA, D4DDA, D4DPI, D5EIE, DXEN, DXEN, DXEN;D2DRO, D3DRO, D4DPI
14596;1;G3ST, G3ST, G4ST, G5ST;G4ST
14597;1;L5CLD, L5LDL;
14598;1;-8<--, B2STA, B2STA, B3SEP, [trou], B4SPS;B2STA, B3SEP
14599;1;L3HHI, L4HSC, L5HSC, L4MFHI;L3HHI, L4HSC, L5HSC, L4MFHI
14600;1;E4CEE2, E5CEE2;E4CEE2
14601;1;E1EGEL, D1AES, D2AES, D3AEE;D1AES, D2AES
14602;1;-8<--, S2TCB, SUETI;S2TCB, SUETI
14603;1;B1PAES, [trou], B1IFAV, [trou], [trou], B1IFLC, B2IFLC, B3IFLC;B1IFLC, B2IFLC, B3IFLC
14604;1;-8<--, L4PSY, L5PCP, L5CEA;L4PSY, L5PCP
